question_set,questionid,"question","display","answer"
7,16,"Any act of dealing/trading cash points will result in heavy punishment.","It's against the Terms of Agreement.","o"
7,100,"You'll need EXP 92 to go from LV. 4 to LV. 5.","You'll need 92 points of EXP for that.","o"
7,101,"You'll need EXP 250 to go from LV. 5 to LV. 6.","You'll need 135 points of EXP for that.","x"
7,102,"You can only recharge your NexonCash through the MapleStory website or through the Cash Shop in the game.","It's impossible to recharge cash points at the website.","x"
7,103,"If you delete a cash item, you'll receive 35% of it back through MaplePoints.","You only receive 30% of it back.","x"
7,104,"All presents received through Cash Item cannot be deleted.","The only item that's undeletable is that of a \"use\" cash item.","x"
7,105,"You can put upto 8 items of your liking at the wish list of the Cash Shop.","You can put upto 10 items on wish list.","x"
7,106,"If you make the 2nd job adv. either at LV. 31 or beyond, you won't be able to receive the bonus SP + 1 that comes with the job adv.","You'll receive a bonus SP after every job adv. ","x"
7,107,"You can buy presents for your friends using MaplePoints.","You can't buy presents for others with the MaplePoints.","x"
7,108,"The Regular Sauna at Sleepywood Hotel costs 490 mesos.","The Regular Sauna costs 499 mesos to enter.","x"
7,109,"You'll be able to choose either a sword, a bat, or an axe as your weapon when you first make the character. Out of those weapons, the axe is considered the strongest, and the slowest of the three.","The basic set of weapons you choose from when first creating the character may all look different, but they all consist of the same characteristics.","x"
7,110,"MapleStory is a 2D side-scrolling online adventure game from Nexon.","MapleStory is a 2D side-scrolling online adventure game from Wizet.","x"
